EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID,GENDER
198,Donald,OConnell,DOCONNEL,650.507.9833,21-JUN-2007,SH_CLERK,2600, - ,124,50,M
199,Douglas,Grant,DGRANT,650.507.9844,13-JAN-2008,SH_CLERK,2600, - ,124,50,M
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-SEP-2003,AD_ASST,4400, - ,101,10,F
201,Michael,Hartstein,MHARTSTE,515.123.5555,17-FEB-2004,MK_MAN,13000, - ,100,20,M
202,Pat,Fay,PFAY,603.123.6666,17-AUG-2005,MK_REP,6000, - ,201,20,M
203,Susan,Mavris,SMAVRIS,515.123.7777,07-JUN-2002,HR_REP,6500, - ,101,40,F
204,Hermann,Baer,HBAER,515.123.8888,07-JUN-2002,PR_REP,10000, - ,101,70,M
205,Shelley,Higgins,SHIGGINS,515.123.8080,07-JUN-2002,AC_MGR,12008, - ,101,110,F
206,William,Gietz,WGIETZ,515.123.8181,07-JUN-2002,AC_ACCOUNT,8300, - ,205,110,M
100,Steven,King,SKING,515.123.4567,17-JUN-2003,AD_PRES,24000, - , - ,90,M
101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-SEP-2005,AD_VP,17000, - ,100,90,F
102,Lex,De Haan,LDEHAAN,515.123.4569,13-JAN-2001,AD_VP,17000, - ,100,90,M
103,Alexander,Hunold,AHUNOLD,590.423.4567,03-JAN-2006,IT_PROG,9000, - ,102,60,M
104,Bruce,Ernst,BERNST,590.423.4568,21-MAY-2007,IT_PROG,6000, - ,103,60,M
105,David,Austin,DAUSTIN,590.423.4569,25-JUN-2005,IT_PROG,4800, - ,103,60,M
106,Valli,Pataballa,VPATABAL,590.423.4560,05-FEB-2006,IT_PROG,4800, - ,103,60,F
107,Diana,Lorentz,DLORENTZ,590.423.5567,07-FEB-2007,IT_PROG,4200, - ,103,60,F
108,Nancy,Greenberg,NGREENBE,515.124.4569,17-AUG-2002,FI_MGR,12008, - ,101,100,F
109,Daniel,Faviet,DFAVIET,515.124.4169,16-AUG-2002,FI_ACCOUNT,9000, - ,108,100,M
110,John,Chen,JCHEN,515.124.4269,28-SEP-2005,FI_ACCOUNT,8200, - ,108,100,M
111,Ismael,Sciarra,ISCIARRA,515.124.4369,30-SEP-2005,FI_ACCOUNT,7700, - ,108,100,M
112,Jose Manuel,Urman,JMURMAN,515.124.4469,07-MAR-2006,FI_ACCOUNT,7800, - ,108,100,M
113,Luis,Popp,LPOPP,515.124.4567,07-DEC-2007,FI_ACCOUNT,6900, - ,108,100,M
114,Den,Raphaely,DRAPHEAL,515.127.4561,07-DEC-2002,PU_MAN,11000, - ,100,30,M
115,Alexander,Khoo,AKHOO,515.127.4562,18-MAY-2003,PU_CLERK,3100, - ,114,30,M
116,Shelli,Baida,SBAIDA,515.127.4563,24-DEC-2005,PU_CLERK,2900, - ,114,30,F
117,Sigal,Tobias,STOBIAS,515.127.4564,24-JUL-2005,PU_CLERK,2800, - ,114,30,M
118,Guy,Himuro,GHIMURO,515.127.4565,15-NOV-2006,PU_CLERK,2600, - ,114,30,M
119,Karen,Colmenares,KCOLMENA,515.127.4566,10-AUG-2007,PU_CLERK,2500, - ,114,30,M
120,Matthew,Weiss,MWEISS,650.123.1234,18-JUL-2004,ST_MAN,8000, - ,100,50,M
121,Adam,Fripp,AFRIPP,650.123.2234,10-APR-2005,ST_MAN,8200, - ,100,50,M
122,Payam,Kaufling,PKAUFLIN,650.123.3234,01-MAY-2003,ST_MAN,7900, - ,100,50,M
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-OCT-2005,ST_MAN,6500, - ,100,50,F
124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-NOV-2007,ST_MAN,5800, - ,100,50,M
125,Julia,Nayer,JNAYER,650.124.1214,16-JUL-2005,ST_CLERK,3200, - ,120,50,F
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-SEP-2006,ST_CLERK,2700, - ,120,50,F
127,James,Landry,JLANDRY,650.124.1334,14-JAN-2007,ST_CLERK,2400, - ,120,50,M
128,Steven,Markle,SMARKLE,650.124.1434,08-MAR-2008,ST_CLERK,2200, - ,120,50,M
129,Laura,Bissot,LBISSOT,650.124.5234,20-AUG-2005,ST_CLERK,3300, - ,121,50,F
130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-OCT-2005,ST_CLERK,2800, - ,121,50,M
131,James,Marlow,JAMRLOW,650.124.7234,16-FEB-2005,ST_CLERK,2500, - ,121,50,M
